City,CrashCount,CrashType,Latitude,Location,Longitude,Year
VANCOUVER,1,PDO,49.283473,100 BLK COMMERCIAL DR,-123.070348,2009
VANCOUVER,1,PDO,49.283473,100 BLK COMMERCIAL DR,-123.070348,2009
VANCOUVER,1,PDO,49.273514,100 BLK DAVIE ST,-123.120678,2009
VANCOUVER,1,Casualty,49.260213,100 BLK E 12TH AVE,-123.10212,2009
VANCOUVER,3,PDO,49.270142,100 BLK E 1ST AVE,-123.101677,2009
VANCOUVER,1,PDO,49.23636,100 BLK E 38TH AVE,-123.102623,2009
VANCOUVER,1,PDO,49.234545,100 BLK E 40TH AVE,-123.102625,2009
VANCOUVER,1,PDO,49.215038,100 BLK E 61ST AVE,-123.1042,2009
VANCOUVER,2,PDO,49.214175,100 BLK E 62ND AVE,-123.104244,2009
VANCOUVER,1,PDO,49.212438,100 BLK E 64TH AVE,-123.104032,2009
VANCOUVER,1,PDO,49.263715,100 BLK E 8TH AVE,-123.101979,2009
VANCOUVER,1,Casualty,49.262941,100 BLK E BROADWAY,-123.102003,2009
VANCOUVER,1,Casualty,49.262941,100 BLK E BROADWAY,-123.102003,2009
VANCOUVER,1,Casualty,49.282317,100 BLK E CORDOVA ST,-123.100927,2009
VANCOUVER,1,PDO,49.282317,100 BLK E CORDOVA ST,-123.100927,2009
VANCOUVER,1,Casualty,49.281374,100 BLK E HASTINGS ST,-123.100975,2009
VANCOUVER,2,PDO,49.281374,100 BLK E HASTINGS ST,-123.100975,2009
VANCOUVER,1,PDO,49.207048,100 BLK E KENT AVE N,-123.104635,2009
VANCOUVER,1,PDO,49.283612,100 BLK GORE AVE,-123.097775,2009
VANCOUVER,1,PDO,49.279774,100 BLK KEEFER PL,-123.108059,2009
VANCOUVER,1,PDO,49.262317,100 BLK KINGSWAY,-123.098997,2009
VANCOUVER,1,PDO,49.283648,100 BLK MAIN ST,-123.099525,2009
VANCOUVER,1,PDO,49.283648,100 BLK MAIN ST,-123.099525,2009
VANCOUVER,1,PDO,49.276059,100 BLK MILROSS AVE,-123.101015,2009
VANCOUVER,2,PDO,49.276059,100 BLK MILROSS AVE,-123.101015,2009
VANCOUVER,2,PDO,49.274981,100 BLK NATIONAL AVE,-123.101046,2009
VANCOUVER,1,PDO,49.283216,100 BLK POWELL ST,-123.100872,2009
VANCOUVER,1,PDO,49.277899,100 BLK ROBSON ST,-123.114463,2009
VANCOUVER,1,PDO,49.211578,100 BLK SE MARINE DR,-123.103881,2009
VANCOUVER,1,PDO,49.212348,100 BLK SW MARINE DR,-123.108295,2009
VANCOUVER,1,PDO,49.21247,100 BLK SW MARINE DR,-123.108283,2009
VANCOUVER,1,PDO,49.28346,100 BLK TEMPLETON DR,-123.059717,2009
VANCOUVER,1,PDO,49.283485,100 BLK VICTORIA DR,-123.065545,2009
VANCOUVER,1,PDO,49.262128,100 BLK W 10TH AVE,-123.108181,2009
VANCOUVER,1,PDO,49.262128,100 BLK W 10TH AVE,-123.108181,2009
VANCOUVER,1,PDO,49.260326,100 BLK W 12TH AVE,-123.108272,2009
VANCOUVER,1,PDO,49.260326,100 BLK W 12TH AVE,-123.108272,2009
VANCOUVER,1,PDO,49.270327,100 BLK W 1ST AVE,-123.10802,2009
VANCOUVER,1,PDO,49.247814,100 BLK W 26TH AVE,-123.108774,2009
VANCOUVER,1,PDO,49.269297,100 BLK W 2ND AVE,-123.108033,2009
VANCOUVER,1,PDO,49.231395,100 BLK W 43RD AVE,-123.109509,2009
VANCOUVER,1,Casualty,49.225855,100 BLK W 49TH AVE,-123.109563,2009
VANCOUVER,3,PDO,49.225855,100 BLK W 49TH AVE,-123.109563,2009
VANCOUVER,1,PDO,49.26743,100 BLK W 4TH AVE,-123.10806,2009
VANCOUVER,1,PDO,49.266553,100 BLK W 5TH AVE,-123.10807,2009
VANCOUVER,1,PDO,49.266553,100 BLK W 5TH AVE,-123.10807,2009
VANCOUVER,1,Casualty,49.263084,100 BLK W BROADWAY,-123.108157,2009
VANCOUVER,2,PDO,49.279015,100 BLK W GEORGIA ST,-123.112765,2009
VANCOUVER,1,PDO,49.282244,100 BLK W HASTINGS ST,-123.108432,2009
VANCOUVER,2,PDO,49.281369,100 BLK W PENDER ST,-123.109275,2009
VANCOUVER,1,PDO,49.284101,100 BLK WATER ST,-123.107618,2009
VANCOUVER,1,Casualty,49.284682,1000 BLK ALBERNI ST,-123.122686,2009
VANCOUVER,1,PDO,49.284682,1000 BLK ALBERNI ST,-123.122686,2009
VANCOUVER,2,PDO,49.284682,1000 BLK ALBERNI ST,-123.122686,2009
VANCOUVER,1,PDO,49.251867,1000 BLK BALFOUR AVE,-123.128609,2009
VANCOUVER,1,PDO,49.282548,1000 BLK BARCLAY ST,-123.125952,2009
VANCOUVER,1,PDO,49.282548,1000 BLK BARCLAY ST,-123.125952,2009
VANCOUVER,1,PDO,49.276981,1000 BLK BEACH AVE,-123.134836,2009
VANCOUVER,1,PDO,49.279008,1000 BLK BURNABY ST,-123.131264,2009
VANCOUVER,1,Casualty,49.280297,1000 BLK BURRARD ST,-123.127351,2009
VANCOUVER,1,PDO,49.280297,1000 BLK BURRARD ST,-123.127351,2009
VANCOUVER,2,PDO,49.280297,1000 BLK BURRARD ST,-123.127351,2009
VANCOUVER,2,PDO,49.280297,1000 BLK BURRARD ST,-123.127351,2009
VANCOUVER,2,PDO,49.280297,1000 BLK BURRARD ST,-123.127351,2009
VANCOUVER,1,PDO,49.282846,1000 BLK BUTE ST,-123.131768,2009
VANCOUVER,2,PDO,49.275334,1000 BLK CAMBIE ST,-123.118632,2009
VANCOUVER,1,PDO,49.288495,1000 BLK CANADA PL,-123.116875,2009
VANCOUVER,1,PDO,49.27973,1000 BLK DAVIE ST,-123.130198,2009
VANCOUVER,1,PDO,49.288314,1000 BLK DENMAN ST,-123.140235,2009
VANCOUVER,1,Casualty,49.285925,1000 BLK DUNSMUIR ST,-123.1202,2009
VANCOUVER,1,PDO,49.260561,1000 BLK E 11TH AVE,-123.082383,2009
VANCOUVER,1,PDO,49.232766,1000 BLK E 41ST AVE,-123.083127,2009
VANCOUVER,1,Casualty,49.22538,1000 BLK E 49TH AVE,-123.083344,2009
VANCOUVER,1,Casualty,49.22538,1000 BLK E 49TH AVE,-123.083344,2009
VANCOUVER,1,PDO,49.225391,1000 BLK E 49TH AVE,-123.084556,2009
VANCOUVER,1,PDO,49.220586,1000 BLK E 54TH AVE,-123.08695,2009
VANCOUVER,1,PDO,49.217315,1000 BLK E 58TH AVE,-123.08428,2009
VANCOUVER,1,PDO,49.281923,1000 BLK E CORDOVA ST,-123.081845,2009
VANCOUVER,1,PDO,49.27452,1000 BLK EXPO BLVD,-123.116711,2009
VANCOUVER,1,PDO,49.28338,1000 BLK HARO ST,-123.125118,2009
VANCOUVER,1,Casualty,49.278325,1000 BLK HARWOOD ST,-123.132336,2009
VANCOUVER,1,PDO,49.276819,1000 BLK HOMER ST,-123.120883,2009
VANCOUVER,1,PDO,49.276819,1000 BLK HOMER ST,-123.120883,2009
VANCOUVER,1,PDO,49.279996,1000 BLK HORNBY ST,-123.125786,2009
VANCOUVER,1,PDO,49.279377,1000 BLK HOWE ST,-123.124831,2009
VANCOUVER,2,PDO,49.279377,1000 BLK HOWE ST,-123.124831,2009
VANCOUVER,2,Casualty,49.25328,1000 BLK KINGSWAY,-123.082504,2009
VANCOUVER,1,PDO,49.276101,1000 BLK MAINLAND ST,-123.119748,2009
VANCOUVER,1,PDO,49.276101,1000 BLK MAINLAND ST,-123.119748,2009
VANCOUVER,1,PDO,49.276101,1000 BLK MAINLAND ST,-123.119748,2009
VANCOUVER,1,Casualty,49.286243,1000 BLK MELVILLE ST,-123.121587,2009
VANCOUVER,1,PDO,49.285594,1000 BLK MELVILLE ST,-123.120707,2009
VANCOUVER,1,PDO,49.274112,1000 BLK PACIFIC BLVD,-123.1166,2009
VANCOUVER,1,PDO,49.274112,1000 BLK PACIFIC BLVD,-123.1166,2009
VANCOUVER,1,Casualty,49.277888,1000 BLK PACIFIC ST,-123.133854,2009
VANCOUVER,1,PDO,49.277256,1000 BLK PACIFIC ST,-123.132876,2009
VANCOUVER,1,PDO,49.275157,1000 BLK QUEBEC ST,-123.101983,2009
VANCOUVER,2,PDO,49.277461,1000 BLK RICHARDS ST,-123.121872,2009
VANCOUVER,2,PDO,49.277461,1000 BLK RICHARDS ST,-123.121872,2009
VANCOUVER,1,PDO,49.28394,1000 BLK ROBSON ST,-123.123826,2009
VANCOUVER,2,PDO,49.278066,1000 BLK SEYMOUR ST,-123.122812,2009
VANCOUVER,1,PDO,49.204517,1000 BLK SW MARINE DR,-123.131018,2009
VANCOUVER,1,PDO,49.281447,1000 BLK THURLOW ST,-123.129624,2009
VANCOUVER,1,PDO,49.262462,1000 BLK W 10TH AVE,-123.127844,2009
VANCOUVER,1,PDO,49.25783,1000 BLK W 15TH AVE,-123.128108,2009
VANCOUVER,1,PDO,49.236786,1000 BLK W 38TH AVE,-123.129906,2009
VANCOUVER,1,PDO,49.233067,1000 BLK W 42ND AVE,-123.129997,2009
VANCOUVER,1,PDO,49.229382,1000 BLK W 46TH AVE,-123.130117,2009
VANCOUVER,1,PDO,49.264344,1000 BLK W 8TH AVE,-123.127774,2009
VANCOUVER,1,PDO,49.264344,1000 BLK W 8TH AVE,-123.127774,2009
VANCOUVER,1,PDO,49.263425,1000 BLK W BROADWAY,-123.127811,2009
VANCOUVER,1,PDO,49.263425,1000 BLK W BROADWAY,-123.127811,2009
VANCOUVER,1,PDO,49.263425,1000 BLK W BROADWAY,-123.127811,2009
VANCOUVER,1,PDO,49.288129,1000 BLK W CORDOVA ST,-123.118374,2009
VANCOUVER,1,Casualty,49.285066,1000 BLK W GEORGIA ST,-123.122114,2009
VANCOUVER,1,PDO,49.285066,1000 BLK W GEORGIA ST,-123.122114,2009
VANCOUVER,1,PDO,49.285066,1000 BLK W GEORGIA ST,-123.122114,2009
VANCOUVER,3,PDO,49.285066,1000 BLK W GEORGIA ST,-123.122114,2009
VANCOUVER,1,PDO,49.287562,1000 BLK W HASTINGS ST,-123.118346,2009
VANCOUVER,3,PDO,49.287562,1000 BLK W HASTINGS ST,-123.118346,2009
VANCOUVER,1,Casualty,49.28708,1000 BLK W PENDER ST,-123.11911,2009
VANCOUVER,1,PDO,49.28708,1000 BLK W PENDER ST,-123.11911,2009
VANCOUVER,1,PDO,49.287564,1000 BLK WATERFRONT RD,-123.113494,2009
VANCOUVER,1,Casualty,49.256054,1000 BLK WOLFE AVE,-123.130311,2009
VANCOUVER,1,PDO,49.253016,1000 BLK WOLFE AVE,-123.128217,2009
VANCOUVER,1,PDO,49.286049,1100 BLK ALBERNI ST,-123.124813,2009
VANCOUVER,1,PDO,49.286049,1100 BLK ALBERNI ST,-123.124813,2009
VANCOUVER,3,PDO,49.286049,1100 BLK ALBERNI ST,-123.124813,2009
VANCOUVER,1,PDO,49.278438,1100 BLK BEACH AVE,-123.136276,2009
VANCOUVER,1,PDO,49.284059,1100 BLK BROUGHTON ST,-123.135771,2009
VANCOUVER,1,PDO,49.280364,1100 BLK BURNABY ST,-123.133349,2009
VANCOUVER,1,Casualty,49.279596,1100 BLK BURRARD ST,-123.128403,2009
VANCOUVER,2,PDO,49.279596,1100 BLK BURRARD ST,-123.128403,2009
VANCOUVER,1,PDO,49.27449,1100 BLK CLARK DR,-123.077298,2009
VANCOUVER,1,PDO,49.274408,1100 BLK COMMERCIAL DR,-123.069552,2009
VANCOUVER,1,PDO,49.274408,1100 BLK COMMERCIAL DR,-123.069552,2009
VANCOUVER,1,PDO,49.24388,1100 BLK CONNAUGHT DR,-123.131379,2009
VANCOUVER,1,PDO,49.281095,1100 BLK DAVIE ST,-123.132283,2009
VANCOUVER,1,PDO,49.281095,1100 BLK DAVIE ST,-123.132283,2009
VANCOUVER,1,PDO,49.287421,1100 BLK DENMAN ST,-123.141591,2009
VANCOUVER,1,PDO,49.288314,1100 BLK DENMAN ST,-123.140235,2009
VANCOUVER,1,PDO,49.244772,1100 BLK DEVONSHIRE CRES,-123.131104,2009
VANCOUVER,1,PDO,49.257834,1100 BLK E 14TH AVE,-123.079538,2009
VANCOUVER,1,PDO,49.249959,1100 BLK E 23RD AVE,-123.080929,2009
VANCOUVER,1,PDO,49.249959,1100 BLK E 23RD AVE,-123.080929,2009
VANCOUVER,1,PDO,49.240244,1100 BLK E 33RD AVE,-123.081962,2009
VANCOUVER,1,PDO,49.221866,1100 BLK E 53RD AVE,-123.082287,2009
VANCOUVER,1,PDO,49.214666,1100 BLK E 61ST AVE,-123.08166,2009
VANCOUVER,1,Casualty,49.278225,1100 BLK E GEORGIA ST,-123.080302,2009
VANCOUVER,1,PDO,49.278225,1100 BLK E GEORGIA ST,-123.080302,2009
VANCOUVER,1,PDO,49.278225,1100 BLK E GEORGIA ST,-123.080302,2009
VANCOUVER,1,PDO,49.280983,1100 BLK E HASTINGS ST,-123.080218,2009
VANCOUVER,1,PDO,49.28935,1100 BLK GILFORD ST,-123.141782,2009
VANCOUVER,1,PDO,49.278931,1100 BLK HORNBY ST,-123.127362,2009
VANCOUVER,1,PDO,49.278931,1100 BLK HORNBY ST,-123.127362,2009
VANCOUVER,1,PDO,49.278324,1100 BLK HOWE ST,-123.126408,2009
VANCOUVER,1,PDO,49.278324,1100 BLK HOWE ST,-123.126408,2009
VANCOUVER,1,PDO,49.278324,1100 BLK HOWE ST,-123.126408,2009
VANCOUVER,1,PDO,49.278324,1100 BLK HOWE ST,-123.126408,2009
VANCOUVER,1,PDO,49.278324,1100 BLK HOWE ST,-123.126408,2009
VANCOUVER,1,PDO,49.279122,1100 BLK KEEFER ST,-123.08028,2009
VANCOUVER,1,PDO,49.252505,1100 BLK KINGSWAY,-123.080846,2009
VANCOUVER,2,PDO,49.252505,1100 BLK KINGSWAY,-123.080846,2009
VANCOUVER,1,PDO,49.250709,1100 BLK LAURIER AVE,-123.130903,2009
VANCOUVER,1,PDO,49.273893,1100 BLK MAIN ST,-123.099892,2009
VANCOUVER,1,PDO,49.27391,1100 BLK MAIN ST,-123.100047,2009
VANCOUVER,1,Casualty,49.273277,1100 BLK MARINASIDE CRES,-123.119197,2009
VANCOUVER,1,PDO,49.273277,1100 BLK MARINASIDE CRES,-123.119197,2009
VANCOUVER,1,PDO,49.273277,1100 BLK MARINASIDE CRES,-123.119197,2009
VANCOUVER,1,PDO,49.287159,1100 BLK MELVILLE ST,-123.123089,2009
VANCOUVER,1,PDO,49.287159,1100 BLK MELVILLE ST,-123.123089,2009
VANCOUVER,1,PDO,49.287159,1100 BLK MELVILLE ST,-123.123089,2009
VANCOUVER,1,PDO,49.287159,1100 BLK MELVILLE ST,-123.123089,2009
VANCOUVER,1,PDO,49.283189,1100 BLK NELSON ST,-123.129122,2009
VANCOUVER,1,PDO,49.283189,1100 BLK NELSON ST,-123.129122,2009
VANCOUVER,2,PDO,49.274128,1100 BLK PACIFIC BLVD,-123.120791,2009
VANCOUVER,1,PDO,49.278957,1100 BLK PACIFIC ST,-123.135497,2009
VANCOUVER,1,PDO,49.278957,1100 BLK PACIFIC ST,-123.135497,2009
VANCOUVER,1,PDO,49.282922,1100 BLK POWELL ST,-123.079232,2009
VANCOUVER,2,PDO,49.274458,1100 BLK QUEBEC ST,-123.101838,2009
VANCOUVER,1,PDO,49.276416,1100 BLK RICHARDS ST,-123.12346,2009
VANCOUVER,2,PDO,49.276416,1100 BLK RICHARDS ST,-123.12346,2009
VANCOUVER,2,PDO,49.285286,1100 BLK ROBSON ST,-123.125903,2009
VANCOUVER,3,PDO,49.277016,1100 BLK SEYMOUR ST,-123.124401,2009
VANCOUVER,1,PDO,49.273596,1100 BLK STATION ST,-123.098582,2009
VANCOUVER,1,PDO,49.266731,1100 BLK THE CASTINGS,-123.13089,2009
VANCOUVER,1,PDO,49.274512,1100 BLK VERNON DR,-123.078663,2009
VANCOUVER,1,PDO,49.261577,1100 BLK W 11TH AVE,-123.130258,2009
VANCOUVER,1,Casualty,49.260644,1100 BLK W 12TH AVE,-123.130291,2009
VANCOUVER,1,PDO,49.260644,1100 BLK W 12TH AVE,-123.130291,2009
VANCOUVER,1,PDO,49.234084,1100 BLK W 41ST AVE,-123.132204,2009
VANCOUVER,1,PDO,49.233067,1100 BLK W 42ND AVE,-123.129997,2009
VANCOUVER,1,Casualty,49.226737,1100 BLK W 49TH AVE,-123.133507,2009
VANCOUVER,1,PDO,49.264379,1100 BLK W 8TH AVE,-123.130138,2009
VANCOUVER,2,Casualty,49.263464,1100 BLK W BROADWAY,-123.130185,2009
VANCOUVER,1,PDO,49.288936,1100 BLK W CORDOVA ST,-123.121167,2009
VANCOUVER,1,PDO,49.286429,1100 BLK W GEORGIA ST,-123.124231,2009
VANCOUVER,5,PDO,49.286429,1100 BLK W GEORGIA ST,-123.124231,2009
VANCOUVER,1,PDO,49.288372,1100 BLK W HASTINGS ST,-123.121246,2009
VANCOUVER,1,PDO,49.288372,1100 BLK W HASTINGS ST,-123.121246,2009
VANCOUVER,3,PDO,49.288372,1100 BLK W HASTINGS ST,-123.121246,2009
VANCOUVER,1,PDO,49.24917,1100 BLK W KING EDWARD AVE,-123.130897,2009
VANCOUVER,1,PDO,49.287928,1100 BLK W PENDER ST,-123.12191,2009
VANCOUVER,1,PDO,49.287238,1200 BLK ALBERNI ST,-123.126694,2009
VANCOUVER,1,PDO,49.287238,1200 BLK ALBERNI ST,-123.126694,2009
VANCOUVER,2,Casualty,49.287238,1200 BLK ALBERNI ST,-123.126694,2009
VANCOUVER,1,PDO,49.251838,1200 BLK BALFOUR AVE,-123.133245,2009
VANCOUVER,1,PDO,49.278198,1200 BLK BURRARD ST,-123.130537,2009
VANCOUVER,1,PDO,49.278718,1200 BLK BURRARD ST,-123.129735,2009
VANCOUVER,1,PDO,49.269757,1200 BLK CARTWRIGHT ST,-123.13354,2009
VANCOUVER,1,PDO,49.273585,1200 BLK CLARK DR,-123.077307,2009
VANCOUVER,3,PDO,49.282308,1200 BLK DAVIE ST,-123.134134,2009
VANCOUVER,1,PDO,49.287091,1200 BLK DENMAN ST,-123.142084,2009
VANCOUVER,1,PDO,49.25354,1200 BLK E 19TH AVE,-123.078901,2009
VANCOUVER,1,Casualty,49.249023,1200 BLK E 24TH AVE,-123.079046,2009
VANCOUVER,1,PDO,49.265187,1200 BLK E 6TH AVE,-123.078415,2009
VANCOUVER,1,PDO,49.262409,1200 BLK E BROADWAY,-123.079506,2009
VANCOUVER,1,PDO,49.27857,1200 BLK E GEORGIA ST,-123.078234,2009
VANCOUVER,1,PDO,49.28134,1200 BLK E HASTINGS ST,-123.078158,2009
VANCOUVER,1,PDO,49.28134,1200 BLK E HASTINGS ST,-123.078158,2009
VANCOUVER,1,PDO,49.208564,1200 BLK E KENT AVE S,-123.083268,2009
VANCOUVER,1,PDO,49.273595,1200 BLK GLEN DR,-123.081446,2009
VANCOUVER,1,PDO,49.276626,1200 BLK GRANVILLE ST,-123.126977,2009
VANCOUVER,1,PDO,49.276626,1200 BLK GRANVILLE ST,-123.126977,2009
VANCOUVER,1,PDO,49.276626,1200 BLK GRANVILLE ST,-123.126977,2009
VANCOUVER,1,PDO,49.274345,1200 BLK HAMILTON ST,-123.123468,2009
VANCOUVER,1,Casualty,49.285809,1200 BLK HARO ST,-123.128806,2009
VANCOUVER,1,PDO,49.27788,1200 BLK HORNBY ST,-123.128928,2009
VANCOUVER,1,Casualty,49.277278,1200 BLK HOWE ST,-123.12799,2009
VANCOUVER,1,Casualty,49.277278,1200 BLK HOWE ST,-123.12799,2009
VANCOUVER,1,PDO,49.270278,1200 BLK JOHNSTON ST,-123.13288,2009
VANCOUVER,1,Casualty,49.251612,1200 BLK KINGSWAY,-123.078952,2009
VANCOUVER,1,PDO,49.251612,1200 BLK KINGSWAY,-123.078952,2009
VANCOUVER,1,PDO,49.251612,1200 BLK KINGSWAY,-123.078952,2009
VANCOUVER,1,Casualty,49.27391,1200 BLK MAIN ST,-123.100047,2009
VANCOUVER,1,PDO,49.27391,1200 BLK MAIN ST,-123.100047,2009
VANCOUVER,1,PDO,49.274932,1200 BLK MAPLE ST,-123.150115,2009
VANCOUVER,1,PDO,49.272426,1200 BLK MARINASIDE CRES,-123.120671,2009
VANCOUVER,1,PDO,49.288364,1200 BLK MELVILLE ST,-123.124996,2009
VANCOUVER,1,PDO,49.288364,1200 BLK MELVILLE ST,-123.124996,2009
VANCOUVER,1,PDO,49.273562,1200 BLK NANAIMO ST,-123.05658,2009
VANCOUVER,1,PDO,49.284391,1200 BLK NELSON ST,-123.130961,2009
VANCOUVER,1,PDO,49.284391,1200 BLK NELSON ST,-123.130961,2009
VANCOUVER,1,PDO,49.283395,1200 BLK NICOLA ST,-123.139095,2009
VANCOUVER,1,PDO,49.273789,1200 BLK PACIFIC BLVD,-123.122612,2009
VANCOUVER,1,PDO,49.275359,1200 BLK RICHARDS ST,-123.125043,2009
VANCOUVER,1,PDO,49.275359,1200 BLK RICHARDS ST,-123.125043,2009
VANCOUVER,1,PDO,49.275359,1200 BLK RICHARDS ST,-123.125043,2009
VANCOUVER,1,PDO,49.275977,1200 BLK SEYMOUR ST,-123.125981,2009
VANCOUVER,1,PDO,49.275977,1200 BLK SEYMOUR ST,-123.125981,2009
VANCOUVER,1,Casualty,49.203097,1200 BLK SW MARINE DR,-123.133678,2009
VANCOUVER,1,Casualty,49.203097,1200 BLK SW MARINE DR,-123.133678,2009
VANCOUVER,1,PDO,49.203097,1200 BLK SW MARINE DR,-123.133678,2009
VANCOUVER,1,PDO,49.258815,1200 BLK W 14TH AVE,-123.13273,2009
VANCOUVER,1,PDO,49.257898,1200 BLK W 15TH AVE,-123.132625,2009
VANCOUVER,1,PDO,49.248242,1200 BLK W 26TH AVE,-123.133251,2009
VANCOUVER,1,PDO,49.236916,1200 BLK W 38TH AVE,-123.133591,2009
VANCOUVER,1,PDO,49.228572,1200 BLK W 47TH AVE,-123.133531,2009
VANCOUVER,1,Casualty,49.266079,1200 BLK W 6TH AVE,-123.132864,2009
VANCOUVER,1,PDO,49.204285,1200 BLK W 73RD AVE,-123.134108,2009
VANCOUVER,2,PDO,49.265249,1200 BLK W 7TH AVE,-123.132471,2009
VANCOUVER,1,PDO,49.264411,1200 BLK W 8TH AVE,-123.132502,2009
VANCOUVER,1,PDO,49.263501,1200 BLK W BROADWAY,-123.132543,2009
VANCOUVER,1,PDO,49.289608,1200 BLK W CORDOVA ST,-123.123039,2009
VANCOUVER,1,PDO,49.289608,1200 BLK W CORDOVA ST,-123.123039,2009
VANCOUVER,1,PDO,49.287635,1200 BLK W GEORGIA ST,-123.126101,2009
VANCOUVER,1,PDO,49.288697,1200 BLK W PENDER ST,-123.124477,2009
VANCOUVER,1,PDO,49.288697,1200 BLK W PENDER ST,-123.124477,2009
VANCOUVER,1,PDO,49.27405,1200 BLK WILLIAM ST,-123.077983,2009
VANCOUVER,2,PDO,49.288161,1300 BLK ALBERNI ST,-123.128165,2009
VANCOUVER,1,PDO,49.268093,1300 BLK BIRCH WALK,-123.134719,2009
VANCOUVER,1,PDO,49.272649,1300 BLK BOUNDARY RD,-123.023659,2009
VANCOUVER,1,PDO,49.282547,1300 BLK BURNABY ST,-123.136702,2009
VANCOUVER,1,PDO,49.269757,1300 BLK CARTWRIGHT ST,-123.13354,2009
VANCOUVER,2,PDO,49.272588,1300 BLK COMMERCIAL DR,-123.069595,2009
VANCOUVER,1,PDO,49.245171,1300 BLK CONNAUGHT DR,-123.136123,2009
VANCOUVER,1,Casualty,49.259632,1300 BLK E 12TH AVE,-123.075587,2009
VANCOUVER,1,PDO,49.259632,1300 BLK E 12TH AVE,-123.075587,2009
VANCOUVER,1,PDO,49.258725,1300 BLK E 13TH AVE,-123.075591,2009
VANCOUVER,1,PDO,49.257795,1300 BLK E 14TH AVE,-123.075964,2009
VANCOUVER,1,PDO,49.24752,1300 BLK E 26TH AVE,-123.078101,2009
VANCOUVER,1,Casualty,49.240215,1300 BLK E 33RD AVE,-123.077029,2009
VANCOUVER,1,PDO,49.237705,1300 BLK E 36TH AVE,-123.077987,2009
VANCOUVER,1,Casualty,49.223389,1300 BLK E 51ST AVE,-123.078076,2009
VANCOUVER,1,PDO,49.211978,1300 BLK E 64TH AVE,-123.078905,2009
VANCOUVER,1,PDO,49.263322,1300 BLK E 8TH AVE,-123.07655,2009
VANCOUVER,1,Casualty,49.271483,1300 BLK GRANT ST,-123.075673,2009
VANCOUVER,1,Casualty,49.276013,1300 BLK GRANVILLE ST,-123.127894,2009
VANCOUVER,2,PDO,49.273741,1300 BLK HOMER ST,-123.125484,2009
VANCOUVER,1,PDO,49.276818,1300 BLK HORNBY ST,-123.13055,2009
VANCOUVER,1,PDO,49.250646,1300 BLK KINGSWAY,-123.077079,2009
VANCOUVER,2,Casualty,49.250646,1300 BLK KINGSWAY,-123.077079,2009
